Trial,Condition,Duration_Seconds,Filename_left,Filename_right,Is_repeat,Display,Category,Stim
0,NULL,16,,,0,,,NaN
1,2D_Hand,1,Hand_04_R.png,Hand_04_R.png,0,2D,Hand,4
1,NULL,7,,,0,,,NaN
2,3D_Hand,1,Hand_03_L.png,Hand_03_R.png,0,3D,Hand,3
2,NULL,7,,,0,,,NaN
3,2D_Object,1,Object_06_R.png,Object_06_R.png,0,2D,Object,6
3,NULL,7,,,0,,,NaN
4,2D_Object,1,Object_01_R.png,Object_01_R.png,0,2D,Object,1
4,NULL,3,,,0,,,NaN
5,3D_Object,1,Object_14_L.png,Object_14_R.png,0,3D,Object,14
5,NULL,7,,,0,,,NaN
6,3D_Face,1,Face_10_L.png,Face_10_R.png,0,3D,Face,10
6,NULL,7,,,0,,,NaN
7,3D_Object,1,Object_15_L.png,Object_15_R.png,0,3D,Object,15
7,NULL,7,,,0,,,NaN
8,3D_Hand,1,Hand_12_L.png,Hand_12_R.png,0,3D,Hand,12
8,NULL,3,,,0,,,NaN
9,3D_Hand,1,Hand_12_L.png,Hand_12_R.png,1,3D,Hand,12
9,NULL,3,,,0,,,NaN
10,2D_Hand,1,Hand_14_R.png,Hand_14_R.png,0,2D,Hand,14
10,NULL,3,,,0,,,NaN
11,3D_Face,1,Face_04_L.png,Face_04_R.png,0,3D,Face,4
11,NULL,3,,,0,,,NaN
12,2D_Face,1,Face_03_R.png,Face_03_R.png,0,2D,Face,3
12,NULL,3,,,0,,,NaN
13,2D_Hand,1,Hand_16_R.png,Hand_16_R.png,0,2D,Hand,16
13,NULL,3,,,0,,,NaN
14,2D_Face,1,Face_13_R.png,Face_13_R.png,0,2D,Face,13
14,NULL,7,,,0,,,NaN
15,2D_Face,1,Face_07_R.png,Face_07_R.png,0,2D,Face,7
15,NULL,3,,,0,,,NaN
16,3D_Hand,1,Hand_09_L.png,Hand_09_R.png,0,3D,Hand,9
16,NULL,3,,,0,,,NaN
17,3D_Face,1,Face_12_L.png,Face_12_R.png,0,3D,Face,12
17,NULL,3,,,0,,,NaN
18,3D_Face,1,Face_06_L.png,Face_06_R.png,0,3D,Face,6
18,NULL,7,,,0,,,NaN
19,2D_Hand,1,Hand_06_R.png,Hand_06_R.png,0,2D,Hand,6
19,NULL,7,,,0,,,NaN
20,2D_Object,1,Object_03_R.png,Object_03_R.png,0,2D,Object,3
20,NULL,3,,,0,,,NaN
21,2D_Hand,1,Hand_05_R.png,Hand_05_R.png,0,2D,Hand,5
21,NULL,3,,,0,,,NaN
22,2D_Hand,1,Hand_13_R.png,Hand_13_R.png,0,2D,Hand,13
22,NULL,3,,,0,,,NaN
23,3D_Object,1,Object_03_L.png,Object_03_R.png,0,3D,Object,3
23,NULL,3,,,0,,,NaN
24,2D_Face,1,Face_04_R.png,Face_04_R.png,0,2D,Face,4
24,NULL,3,,,0,,,NaN
25,3D_Face,1,Face_08_L.png,Face_08_R.png,0,3D,Face,8
25,NULL,3,,,0,,,NaN
26,3D_Hand,1,Hand_02_L.png,Hand_02_R.png,0,3D,Hand,2
26,NULL,3,,,0,,,NaN
27,2D_Face,1,Face_02_R.png,Face_02_R.png,0,2D,Face,2
27,NULL,3,,,0,,,NaN
28,3D_Object,1,Object_11_L.png,Object_11_R.png,0,3D,Object,11
28,NULL,3,,,0,,,NaN
29,3D_Object,1,Object_06_L.png,Object_06_R.png,0,3D,Object,6
29,NULL,3,,,0,,,NaN
30,2D_Hand,1,Hand_07_R.png,Hand_07_R.png,0,2D,Hand,7
30,NULL,3,,,0,,,NaN
31,2D_Face,1,Face_15_R.png,Face_15_R.png,0,2D,Face,15
31,NULL,7,,,0,,,NaN
32,2D_Object,1,Object_12_R.png,Object_12_R.png,0,2D,Object,12
32,NULL,7,,,0,,,NaN
33,3D_Hand,1,Hand_13_L.png,Hand_13_R.png,0,3D,Hand,13
33,NULL,7,,,0,,,NaN
34,3D_Hand,1,Hand_04_L.png,Hand_04_R.png,0,3D,Hand,4
34,NULL,3,,,0,,,NaN
35,3D_Object,1,Object_10_L.png,Object_10_R.png,0,3D,Object,10
35,NULL,3,,,0,,,NaN
36,2D_Object,1,Object_11_R.png,Object_11_R.png,0,2D,Object,11
36,NULL,3,,,0,,,NaN
37,2D_Face,1,Face_11_R.png,Face_11_R.png,0,2D,Face,11
37,NULL,3,,,0,,,NaN
38,3D_Hand,1,Hand_15_L.png,Hand_15_R.png,0,3D,Hand,15
38,NULL,7,,,0,,,NaN
39,3D_Object,1,Object_12_L.png,Object_12_R.png,0,3D,Object,12
39,NULL,3,,,0,,,NaN
40,3D_Object,1,Object_16_L.png,Object_16_R.png,0,3D,Object,16
40,NULL,3,,,0,,,NaN
41,2D_Face,1,Face_12_R.png,Face_12_R.png,0,2D,Face,12
41,NULL,7,,,0,,,NaN
42,2D_Face,1,Face_16_R.png,Face_16_R.png,0,2D,Face,16
42,NULL,3,,,0,,,NaN
43,3D_Face,1,Face_11_L.png,Face_11_R.png,0,3D,Face,11
43,NULL,7,,,0,,,NaN
44,2D_Object,1,Object_13_R.png,Object_13_R.png,0,2D,Object,13
44,NULL,3,,,0,,,NaN
45,3D_Face,1,Face_09_L.png,Face_09_R.png,0,3D,Face,9
45,NULL,3,,,0,,,NaN
